COLLECTEUR	GENRE	ESPECE	IND	FLL-MUL	LON-ENT	RAP-ME	PED-LON	ENT-PED	RAP-PE	PET-LON	FRU-NBR	FRU-LON	DIA-TIG
Gamisans-sn	Ranunculus	peltatus	1	2	2	1	5	5	5	9	12	1.5	1
Aellen-2733	Ranunculus	peltatus	2	2	1.5	1.33	3	1	3	7	32	1.3	1.5
Aellen-2734	Ranunculus	peltatus	3	3.5	2.5	1.4	5	3	1.67	8	40	1.4	2
Aellen-2735	Ranunculus	peltatus	4	5.5	4	1.38	5	3	1.67	7	42	1.6	3
Aylies-1919	Ranunculus	peltatus	5	3	2.5	1.2	4	3	1.33	7	34	1.7	4
Briquet-Arena	Ranunculus	peltatus	6	5	3	1.67	4	2	2	8	64	1.5	3
Briquet-Ostriconi	Ranunculus	peltatus	7	3	3	1	4	1	4	7	30	1.5	1.5
Brugère	Ranunculus	peltatus	8	4	4	1	6	4	1.5	5	40	1.5	2.5
Deschâtres-Bergerie	Ranunculus	peltatus	9	2.5	3.5	0.71	3	1	3	4.5	32	1.4	2
Deschâtres-marais	Ranunculus	peltatus	10	2.5	2	1.25	2	1	2	4.5	22	1.1	1
Dinter-1438a	Ranunculus	peltatus	11	2	2	1	4	1	4	6	46	1	1
Gamisans-12935	Ranunculus	peltatus	12	2	1	2	4	1	4	6	16	1.6	2.5
Gamisans-14463	Ranunculus	peltatus	13	2	1	2	6	1	6	10	18	1.6	1.5
Gamisans-14466	Ranunculus	peltatus	14	2	1.5	1.33	5	1	5	12	12	2	1.5
Gamisans-15442	Ranunculus	peltatus	15	2	4	0.5	4	2	2	5	28	1.3	1
Gamisans-15666	Ranunculus	peltatus	16	2	1	2	3	1	3	7	44	1.2	1
Jeanmonod-8212	Ranunculus	peltatus	17	3	3.5	0.86	3	2	1.5	7	30	2.2	2.5
Jeanmonod-8213	Ranunculus	peltatus	18	3	2	1.5	3.5	2.5	1.4	5.5	26	2.2	1.5
Jeanmonod-8218	Ranunculus	peltatus	19	2.5	3	0.83	5	1	5	6	25	2	1.5
Jeanmonod-3638	Ranunculus	peltatus	20	2	1.5	1.33	4	1	4	6	24	1.2	1
Jeanmonod-1293	Ranunculus	peltatus	21	3	2.5	1.2	4	2	2	7	42	1.5	3
Jeanmonod-1609	Ranunculus	peltatus	22	2.5	2	1.25	5	1	5	8	22	1.5	2
Jeanmonod-1638	Ranunculus	peltatus	23	4	5	0.8	6	4	1.5	12	28	2	2
Jeanmonod-1666	Ranunculus	peltatus	24	5	4.5	1.11	5	1	5	8	34	1.7	3
Jeanmonod-1780	Ranunculus	peltatus	25	3	2	1.5	5	2	2.5	8	36	1.5	2.5
Jeanmonod-1827	Ranunculus	peltatus	26	2.5	5	0.5	4	1	4	7	42	1.5	1.5
Jeanmonod-2255	Ranunculus	peltatus	27	2	3	0.67	2	1	2	6	24	1.5	2.5
Jeanmonod-2521	Ranunculus	peltatus	28	2.5	8	0.31	15	6	2.5	7	48	1.2	2.5
Jeanmonod-6445	Ranunculus	peltatus	29	2	1.5	1.33	4	1	4	6	24	1.6	1
Jeanmonod-2788	Ranunculus	peltatus	30	4	5.5	0.73	8	3.5	2.29	5	36	1.2	2
Jeanmonod-3192	Ranunculus	peltatus	31	4	2	2	5	2	2.5	6	22	1.3	2
Jeanmonod-3782	Ranunculus	peltatus	32	1.5	1	1.5	4	1	4	4.5	22	1.3	1
Jeanmonod-3871	Ranunculus	peltatus	33	2.5	2	1.25	4	1	4	6	20	1.3	2
Jeanmonod-3908	Ranunculus	peltatus	34	1.5	2	0.75	3	1	3	7	22	1.8	1
Lambinon-88-145	Ranunculus	peltatus	35	5	6	0.83	6	4	1.5	8	46	1.5	3
Litardière-1952	Ranunculus	peltatus	36	2	2.5	0.8	4	1	4	5	36	1.2	1
Marchioni	Ranunculus	peltatus	37	4	3	1.33	5	1	5	7	40	1.1	2
Mombrial	Ranunculus	peltatus	38	5	5	1	3	1.5	2	4	40	1.8	2
Requien2	Ranunculus	peltatus	39	3.5	4.5	0.78	4	3	1.33	6	32	1.5	1
Stemmler	Ranunculus	peltatus	40	2.5	4	0.63	5	2	2.5	6	64	1.3	1.5
Thiébaud-06932	Ranunculus	peltatus	42	4.5	5.5	0.82	4	2	2	8	24	1.8	3
Thiébaud-03797	Ranunculus	peltatus	42	2	2	1	5	1	5	9	20	1.5	2
Thiébaud-03231	Ranunculus	peltatus	43	5	2	2.5	3	1	3	7	56	1.5	2.5
Bosc	Ranunculus	penicillatus	1	11	14	0.79	14	14	1	7	34	1.7	4
Desfayes	Ranunculus	penicillatus	2	7	7	1	7	6	1.17	6	40	1.6	1.5
Greute-8017	Ranunculus	penicillatus	3	8	7	1.14	8	7	1.14	8	32	1.7	4
Jeanmonod-8219	Ranunculus	penicillatus	4	7.5	7.5	1	5	4	1.25	8	50	2	2.5
Jeanmonod-8221	Ranunculus	penicillatus	5	10.5	5	2.1	7	3	2.33	7	30	2	2.5
Jeanmonod-8223	Ranunculus	penicillatus	6	6.5	7	0.93	5	3	1.67	7.5	30	2	3.5
Jeanmonod-8224	Ranunculus	penicillatus	7	9	4	2.25	8	3	2.67	9	30	1.9	3
Jeanmonod-1668	Ranunculus	penicillatus	8	12	12	1	10	12	0.83	11	28	1.6	4
Jeanmonod-2160	Ranunculus	penicillatus	9	9	8	1.13	6	3	2	8	36	1.8	4
Jeanmonod-2266	Ranunculus	penicillatus	10	11	16	0.69	8	6	1.33	10	40	1.8	4
Jeanmonod-3230	Ranunculus	penicillatus	11	10	7.5	1.33	6	4	1.5	10	68	1.8	4
Jeanmonod-3236	Ranunculus	penicillatus	12	6.5	6.5	1	8	6	1.33	7	56	1.8	3
Lambinon-88-123	Ranunculus	penicillatus	13	7	4	1.75	6	4	1.5	7	32	1.7	3
Lambinon-88-139	Ranunculus	penicillatus	14	8	4.5	1.78	5	3	1.67	6	26	1.7	2
Lambinon-88-98	Ranunculus	penicillatus	15	8	6	1.33	6	4	1.5	7	38	1.8	3
Lambinon-L00-110	Ranunculus	penicillatus	16	7	7	1	8	7	1.14	6	36	1.5	3
Saint-Yves	Ranunculus	penicillatus	17	7.5	6	1.25	4	4	1	7	38	1.6	2.5
Thiébaud-02243bis	Ranunculus	penicillatus	18	6	4	1.5	6	5	1.2	4.5	22	1.5	2.5
Aellen-2732	Ranunculus	trichophyllus	1	4	2.5	1.6	2	2	1	5	28	1.5	2.5
Briquet	Ranunculus	trichophyllus	2	5	6	0.83	4	1	4	7	11	1.7	2
Briquet-EstuaireOstric	Ranunculus	trichophyllus	3	3.5	1	3.5	3	2	1.5	5	22	1.5	2.5
Brugère2	Ranunculus	trichophyllus	4	4.5	2	2.25	2	1	2	5	24	1.6	2
Gamisans-11480	Ranunculus	trichophyllus	5	5.5	1.5	3.67	4	1	4	6	38	1.6	2
Jeanmonod-8220	Ranunculus	trichophyllus	6	5	7	0.71	5	2	2.5	7	40	2	3
Jeanmonod-8227	Ranunculus	trichophyllus	7	5	1.5	3.33	2.5	1	2.5	5	20	2.5	2.5
Jeanmonod-1781	Ranunculus	trichophyllus	8	4	4	1	2	2	1	5	22	1.3	2
Jeanmonod-2420	Ranunculus	trichophyllus	9	3.5	3.5	1	4	4	1	6	18	1.5	2
Jeanmonod-1302	Ranunculus	trichophyllus	10	6	4	1.5	2	3	0.67	4	24	1.4	1.5
Jeanmonod-2754	Ranunculus	trichophyllus	11	3.5	4	0.88	2	3	0.67	5	26	1.7	2.5
Jeanmonod-1342	Ranunculus	trichophyllus	12	6	7	0.86	2	4	0.5	4	20	1.4	4
Jeanmonod-2856	Ranunculus	trichophyllus	13	4	1.5	2.67	2	1	2	5	20	1.5	1.5
Jeanmonod-2929	Ranunculus	trichophyllus	14	3	3	1	2	3	0.67	4	20	1.3	2.5
Lambinon-88/99	Ranunculus	trichophyllus	15	4	5	0.8	2	2.5	0.8	4	22	1.8	2
Litardière-1908	Ranunculus	trichophyllus	16	5	5	1	3	6	0.5	5	20	1.7	1
